Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m,P009.df,P009.f,P009.ip_a,P009.ip_m,P009.vp_a,P009.vp_m,P010.df,P010.f,P010.ip_a,P010.ip_m,P010.vp_a,P010.vp_m,P011.df,P011.f,P011.ip_a,P011.ip_m,P011.vp_a,P011.vp_m,P012.df,P012.f,P012.ip_a,P012.ip_m,P012.vp_a,P012.vp_m,P013.df,P013.f,P013.ip_a,P013.ip_m,P013.vp_a,P013.vp_m
0,0.04,59.98,-106.2968,2.94801715843832,68.04449,1.0613236,0.06,59.981,74.75135,6.33019710050509,75.24301,1.069521,0.03,59.981,58.07249,1.6983026636088,68.19255,1.0620734,0.04,59.981,77.95164,3.60743055151489,70.53677,1.0630286,0.04,59.98,-132.4744,1.99049703676946,68.77155,1.0605536,0.04,59.981,70.7812,6.1348399559448,68.63131,1.0610364,0.04,59.981,92.18449,1.8197687886674,69.29726,1.0632136,-0.01,59.98,-51.07318,5.51948534547814,115.4905,1.00890104575163,0.03,59.98,55.70995,1.16420661056146,64.89082,1.052637,-0.02,59.98,114.6231,15.1217248279008,115.249,1.00811346405229,0.03,59.98,-115.0556,7.66445126320123,68.20344,1.0617056,0.04,59.98,-124.2159,4.00638420632707,69.90772,1.0550922,0.04,59.981,-110.886,3.57176589333624,69.15564,1.0643618
0.033,5.877472e-39,59.981,-106.6017,2.94841379807325,67.80608,1.0613802,-0.01,59.981,74.53824,6.33034345879833,75.00262,1.0696088,-0.01,59.98,57.90702,1.69569852521962,67.95135,1.0620762,-0.01,59.981,77.62335,3.6011865083536,70.29443,1.0630956,5.877472e-39,59.98,-132.9795,1.99085297321041,68.53002,1.0605112,5.877472e-39,59.98,70.48889,6.13723018605924,68.39049,1.0611018,5.877472e-39,59.981,91.9481,1.81746516109333,69.05978,1.0632706,5.877472e-39,59.98,-51.26225,5.52797606638294,115.2499,1.00877150326797,5.877472e-39,59.98,55.21572,1.1594339445612,64.64505,1.0526094,-0.01,59.98,114.3782,15.1261238905419,115.0098,1.00796653594771,5.877472e-39,59.98,-115.297,7.66227320931072,67.96215,1.0617076,5.877472e-39,59.98,-124.465,4.00417757359823,69.6684,1.0551022,5.877472e-39,59.981,-111.2289,3.56877117748995,68.91554,1.0643864
0.067,-0.02,59.98,-106.9066,2.94889444217235,67.56406,1.0613166,-0.04,59.98,74.29005,6.3345480121337,74.75961,1.0695696,5.877472e-39,59.98,57.57456,1.69053181766064,67.71017,1.062098,-0.02,59.98,77.33391,3.59778043044052,70.04643,1.0630928,-0.01,59.98,-133.1786,1.99454743758296,68.28616,1.0605418,-0.01,59.98,70.23027,6.13554057049646,68.14613,1.0610466,-0.01,59.98,91.86559,1.81256951948574,68.81654,1.0632594,5.877472e-39,59.98,-51.47424,5.52373070593054,114.9978,1.00877150326797,5.877472e-39,59.98,54.85159,1.16211429318592,64.40449,1.0525834,5.877472e-39,59.98,114.137,15.1248783728062,114.7585,1.00798666666667,-0.01,59.98,-115.5512,7.67252348598991,67.71795,1.061686,-0.01,59.98,-124.7143,4.00204628507951,69.42619,1.055087,-0.01,59.98,-111.4983,3.5601100574267,68.67024,1.0644404
0.1,5.877472e-39,59.98,-107.059,2.94916550812374,67.31748,1.0613814,0.01,59.98,74.04102,6.3310241547657,74.51665,1.069647,5.877472e-39,59.98,57.40758,1.68797011451625,67.46899,1.0621384,0.01,59.98,77.08408,3.59717507868327,69.80653,1.0631452,5.877472e-39,59.98,-133.5296,1.9966847882795,68.04462,1.0605372,5.877472e-39,59.98,70.01122,6.13754368725541,67.90242,1.0611074,5.877472e-39,59.98,91.47353,1.8129514366888,68.57099,1.0633214,-0.01,59.98,-51.7378,5.52373070593054,114.7514,1.00870666666667,5.877472e-39,59.98,54.85159,1.16211429318592,64.15659,1.0526512,-0.01,59.98,113.8863,15.1204660599764,114.5132,1.00795098039216,5.877472e-39,59.98,-115.8158,7.67521422691947,67.47372,1.061684,5.877472e-39,59.98,-124.9256,4.00736801118577,69.18162,1.0551442,5.877472e-39,59.98,-111.7025,3.56421328578983,68.42728,1.06446
0.133,0.02,59.98,-107.2906,2.94569101420376,67.07994,1.0612458,0.02,59.98,73.79321,6.33546686508711,74.28404,1.0695462,0.01,59.98,57.15397,1.69035861257989,67.2346,1.0620328,0.02,59.98,76.95772,3.59951334727349,69.57088,1.0630128,0.01,59.98,-133.5296,1.9966847882795,67.80537,1.060497,0.02,59.98,69.7923,6.13963600463095,67.66557,1.0610236,0.02,59.98,91.31965,1.81560840262761,68.33762,1.0632292,5.877472e-39,59.979,-51.85813,5.51523998502574,114.4936,1.00864196078431,0.01,59.98,54.37647,1.16989466541351,63.92022,1.0525484,-0.01,59.979,113.6225,15.1188495369577,114.2534,1.00779921568627,0.02,59.98,-116.0339,7.6688610645573,67.23696,1.061633,0.02,59.98,-125.1749,4.00537701878247,68.9465,1.0550058,0.02,59.98,-111.8695,3.56544910404103,68.19122,1.064336
0.167,5.877472e-39,59.98,-107.6683,2.9504610821278,66.8416,1.0613768,0.02,59.98,73.50937,6.33620558475654,74.04642,1.069757,5.877472e-39,59.98,56.90109,1.69278001960887,66.9912,1.0621652,0.01,59.98,76.5796,3.6066320760926,69.33439,1.063243,5.877472e-39,59.98,-133.8798,1.99889748318617,67.56677,1.060572,5.877472e-39,59.98,69.4278,6.14332267477486,67.42712,1.0611094,0.01,59.98,90.92839,1.816108965311,68.09731,1.0633176,-0.01,59.979,-52.19617,5.50674793910208,114.2357,1.00883633986928,5.877472e-39,59.98,54.37647,1.16989466541351,63.67965,1.0525782,-0.01,59.979,113.3844,15.112502696581,113.9953,1.00804431372549,5.877472e-39,59.98,-116.2409,7.67031685326107,66.99572,1.0617102,5.877472e-39,59.98,-125.5233,4.0186098869523,68.70486,1.055144,0.01,59.98,-112.2759,3.5738634068642,67.95411,1.0644782
0.2,0.01,59.98,-107.8928,2.95495142384642,66.61596,1.0614422,0.05,59.981,73.22999,6.35279083726442,73.83246,1.0700262,0.01,59.98,56.48165,1.70516331685758,66.76349,1.0622752,0.03,59.981,76.20126,3.61913834894865,69.11658,1.0635048,0.02,59.98,-134.1199,2.00803751529771,67.34164,1.0606814,0.01,59.98,69.20931,6.14565314913645,67.2021,1.0612288,0.02,59.981,90.47133,1.82425739833521,67.87629,1.0635272,5.877472e-39,59.979,-52.32795,5.51948534547814,113.9836,1.00877150326797,0.01,59.98,54.01756,1.17268153516289,63.4537,1.052721,5.877472e-39,59.979,113.143,15.1123569445056,113.7458,1.00796156862745,0.01,59.98,-116.4712,7.65648729358803,66.77312,1.0618058,0.02,59.981,-125.8047,4.02186181234351,68.48434,1.0552562,0.02,59.981,-112.5864,3.58694818468998,67.73042,1.0646558
0.233,5.877472e-39,59.981,-108.1967,2.95578540631027,66.38214,1.0614978,5.877472e-39,59.982,72.98363,6.35762066094132,73.60536,1.07017,5.877472e-39,59.981,56.39874,1.7101325706245,66.53207,1.0622642,5.877472e-39,59.982,75.90807,3.63188018071453,68.89196,1.0635012,5.877472e-39,59.981,-134.3577,2.01721305445081,67.1106,1.0607238,5.877472e-39,59.981,68.95847,6.15238822870168,66.97119,1.0612816,5.877472e-39,59.981,90.16889,1.82975319554763,67.64585,1.0635298,-0.01,59.979,-52.64308,5.51099329955447,113.7258,1.00883633986928,5.877472e-39,59.981,53.4451,1.18569010275314,63.21731,1.0526712,-0.01,59.979,112.8693,15.1082626362041,113.4872,1.00801385620915,5.877472e-39,59.981,-116.6556,7.65351855850386,66.53639,1.0618084,5.877472e-39,59.981,-126.0455,4.03253557544515,68.24979,1.0552676,5.877472e-39,59.981,-112.859,3.59718720303892,67.50024,1.0646694
0.267,-0.02,59.98,-108.3397,2.96406893929746,66.14836,1.0615712,-0.02,59.981,72.73484,6.35472553801647,73.37297,1.0702356,-0.02,59.98,55.98298,1.71021397701245,66.29324,1.062341,-0.03,59.981,75.74191,3.63696201778394,68.65691,1.0635356,-0.02,59.98,-134.5517,2.02107292967547,66.87437,1.0607972,-0.02,59.98,68.74049,6.1549109607029,66.7351,1.0613658,-0.02,59.981,89.93142,1.82771543777252,67.41317,1.0636042,-0.01,59.979,-52.94101,5.51948534547814,113.468,1.00883633986928,-0.02,59.98,53.69069,1.18790972586304,62.97996,1.0527928,-0.01,59.979,112.6149,15.1112571788453,113.2295,1.00799568627451,-0.02,59.98,-116.9552,7.65386410263997,66.29745,1.0618848,-0.01,59.98,-126.2534,4.0381993815859,68.01293,1.0553508,-0.01,59.981,-113.0125,3.60381402942868,67.26781,1.0647546
0.3,-0.01,59.98,-108.5716,2.96086118120185,65.90473,1.0614444,-0.02,59.98,72.51968,6.34785795656446,73.12426,1.0699384,-0.01,59.98,55.81559,1.70778910588186,66.05281,1.0622434,-0.02,59.98,75.53777,3.62373521179194,68.40961,1.0633194,-0.01,59.98,-134.7034,2.01960155251444,66.63365,1.0606544,-0.01,59.98,68.48227,6.15406745195962,66.4915,1.0611928,-0.01,59.98,89.69342,1.82570885691195,67.16797,1.0634328,5.877472e-39,59.979,-53.25614,5.52797606638294,113.2159,1.00883633986928,-0.01,59.98,53.33885,1.1907840641782,62.73928,1.0526464,5.877472e-39,59.979,112.3411,15.1078386301664,112.974,1.00804980392157,5.877472e-39,59.98,-117.2323,7.6497522140228,66.05692,1.061787,5.877472e-39,59.98,-126.47,4.03152405777353,67.77184,1.0552164,-0.01,59.98,-113.2128,3.58974977687122,67.02285,1.0645948
