Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m
0,-0.004603062,60.00373,34.81893,5.62171605904972,39.04735,1.03976260869565,-0.001373291,60.00343,-167.355,0.0286888562531177,18.56984,0.999297834755771,5.877472e-39,60.002,-11.96571,2.34060872942307,14.03566,1.02330222222222,5.877472e-39,60.00349,32.91132,9.24503959700572,30.16624,1.01986492753623,0.003051767,60.00348,-157.5287,1.79986837359332,27.02669,1.01756231884058,0.0003305962,60.00389,24.21347,5.57334019176347,23.02745,1.03341971014493,5.877472e-39,60.003,-10.70995,2.19348790947573,14.12933,1.02246901960784,5.877472e-39,60.002,-75.96375,0.769934948889754,110.6513,1.03583623188406
0.033,-0.005747485,60.00356,34.87048,5.62171605904972,39.08173,1.03976260869565,-0.009155273,60.00321,-168.9936,0.0275854387049209,18.60422,0.99936154602435,5.877472e-39,60.004,-11.96571,2.34060872942307,13.86704,1.02299071895425,-0.0005594781,60.00348,32.9464,9.23928511800519,30.20275,1.01988985507246,5.877472e-39,60.00348,-157.46,1.79986837359332,27.0668,1.01763130434783,-0.000534053,60.00388,24.25358,5.57334019176347,23.06756,1.03341971014493,5.877472e-39,60.004,-10.70995,2.19348790947573,13.97719,1.02229411764706,5.877472e-39,60.003,-75.96375,0.769934948889754,110.6096,1.03574927536232
0.067,-0.006434144,60.00335,34.89914,5.62171605904972,39.1161,1.0398315942029,-0.00358582,60.00299,-169.2515,0.0275854387049209,18.63859,0.999425257292928,5.877472e-39,60.002,-11.96571,2.34060872942307,13.91242,1.02319503267974,-0.00437418,60.00336,33.01002,9.23691879019189,30.2359,1.01994927536232,-0.001424141,60.00346,-157.3511,1.80242113935555,27.1069,1.01770028985507,-0.003509517,60.00339,24.28795,5.57078682844371,23.10193,1.03348869565217,5.877472e-39,60.003,-10.70995,2.19348790947573,14.02271,1.02264640522876,5.877472e-39,60.003,-75.96375,0.769934948889754,110.5644,1.0358347826087
0.1,-0.01172382,60.00302,34.91632,5.61788631284885,39.1333,1.03976260869565,-0.0140381,60.0027,-167.8649,0.0275854387049209,18.66723,0.999425257292928,5.877472e-39,60.004,-11.96571,2.34060872942307,13.97001,1.02332261437909,-0.00940958,60.0031,33.02413,9.23575952858639,30.25656,1.01989797101449,-0.004857369,60.00334,-157.2996,1.80497450267531,27.13555,1.01763101449275,-0.004119873,60.00266,24.32233,5.57078682844371,23.12485,1.03348869565217,5.877472e-39,60.004,-10.70995,2.19348790947573,14.0678,1.02255960784314,5.877472e-39,60.003,-75.96375,0.769934948889754,110.5798,1.03613623188406
0.133,-0.02039592,60.00241,34.93351,5.61788631284885,39.14475,1.03969362318841,-0.03013611,60.00176,-166.7133,0.0275854387049209,18.68443,0.999489639206439,5.877472e-39,60.004,-11.96571,2.34060872942307,13.9988,1.02338666666667,-0.02072652,60.00251,33.05954,9.23571769955938,30.2652,1.01988956521739,-0.01360574,60.00294,-157.2824,1.80752726843754,27.15275,1.01756231884058,-0.009613037,60.00196,24.33951,5.56823406268149,23.14203,1.03348869565217,5.877472e-39,60.004,-10.70995,2.19348790947573,14.09687,1.02291790849673,5.877472e-39,60.003,-75.96375,0.769934948889754,110.6346,1.03611565217391
0.167,-0.02197267,60.00167,34.93925,5.61788691040638,39.1562,1.03969362318841,-0.005416868,60.00129,-166.4554,0.0264820211567241,18.70162,0.999489639206439,5.877472e-39,60.002,-11.96571,2.34060872942307,14.02313,1.0230860130719,-0.02189638,60.00173,33.08779,9.23341112749894,30.27193,1.01982115942029,-0.01604717,60.00241,-157.1792,1.81263339751952,27.17566,1.01749333333333,-0.01917521,60.00173,24.34525,5.56823406268149,23.15349,1.03348869565217,5.877472e-39,60.003,-9.443954,2.21112656064375,14.12933,1.02246901960784,5.877472e-39,60.003,-75.96375,0.769934948889754,110.6798,1.03603101449275
0.2,-0.01296997,60.00116,34.96215,5.61405716420551,39.16766,1.03969362318841,0.006713863,60.0014,-167.3263,0.0275854387049209,18.7188,0.999489639206439,5.877472e-39,60.004,-11.96571,2.34060872942307,14.06431,1.02322039215686,-0.01296996,60.00124,33.09475,9.22997517170943,30.28586,1.01983826086957,-0.01413982,60.00193,-157.0589,1.81518616328175,27.19285,1.01742434782609,-0.01538595,60.00162,24.36244,5.56823406268149,23.17069,1.03348869565217,5.877472e-39,60.004,-9.443954,2.21112656064375,14.16243,1.02275346405229,5.877472e-39,60.003,-75.96375,0.769934948889754,110.7214,1.03611884057971
0.233,-0.005594892,60.00091,34.98507,5.61405716420551,39.1734,1.03955594202899,-0.001678462,60.00138,-168.5467,0.0275854387049209,18.73026,0.999297834755771,5.877472e-39,60.002,-11.96571,2.34060872942307,14.08854,1.0227737254902,-0.006942751,60.00096,33.08758,9.22769847752542,30.2974,1.01964173913043,-0.007502229,60.0016,-157.0188,1.8177395266015,27.20432,1.01728666666667,-0.01141866,60.0015,24.39682,5.5656801018042,23.18214,1.03328173913043,5.877472e-39,60.003,-10.70995,2.19348790947573,14.1948,1.02215882352941,5.877472e-39,60.003,-75.96375,0.769934948889754,110.7631,1.03620724637681
0.267,-0.00399272,60.0008,34.96789,5.61405776176304,39.1734,1.03934898550725,-0.03059387,60.00053,-167.9623,0.0264820211567241,18.73026,0.999170412218614,5.877472e-39,60.002,-11.96571,2.34060872942307,14.09739,1.02350418300654,-0.007273355,60.00072,33.08758,9.22769847752542,30.29885,1.01954782608696,-0.007247922,60.00142,-156.9902,1.82284505812596,27.21004,1.01707971014493,-0.005162554,60.00153,24.40828,5.56568069936173,23.18214,1.03314376811594,5.877472e-39,60.003,-9.443954,2.21112656064375,14.19931,1.02267071895425,5.877472e-39,60.003,-75.96375,0.769934948889754,110.8083,1.03612463768116
0.3,-0.009663898,60.00052,34.91632,5.61788631284885,39.16767,1.03928,-0.0177002,59.99977,-165.6246,0.0264820211567241,18.72454,0.999042989681457,5.877472e-39,60.002,-11.96571,2.34060872942307,14.14625,1.02305098039216,-0.002975464,60.0006,33.08758,9.22769847752542,30.30173,1.01935971014493,-0.01370748,60.001,-156.9672,1.82795118720794,27.21004,1.01694173913043,-0.009307866,60.00099,24.38536,5.56823406268149,23.18214,1.03307507246377,5.877472e-39,60.002,-9.443954,2.21112656064375,14.24005,1.02222104575163,5.877472e-39,60.003,-75.96375,0.769934948889754,110.8499,1.03621420289855
