Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m,P005.df,P005.f,P005.ip_a,P005.ip_m,P005.vp_a,P005.vp_m,P006.df,P006.f,P006.ip_a,P006.ip_m,P006.vp_a,P006.vp_m,P007.df,P007.f,P007.ip_a,P007.ip_m,P007.vp_a,P007.vp_m,P008.df,P008.f,P008.ip_a,P008.ip_m,P008.vp_a,P008.vp_m,P009.df,P009.f,P009.ip_a,P009.ip_m,P009.vp_a,P009.vp_m
0,5.877472e-39,59.994,148.7993,1.20967294426014,146.8009,1.0715062,-0.01,59.994,-26.25887,8.73766146689561,146.5893,1.01940826086957,-0.01,59.994,164.6944,2.94337959240105,149.4396,1.0727852,5.877472e-39,59.994,127.2061,1.94678007438642,146.5799,1.0709726,-0.01,59.993,6.080157,1.63003117036896,163.7014,1.04729594202899,-0.01,59.994,-22.59813,8.52814359454788,145.9997,1.0536562,-0.01,59.993,171.9447,3.03325101494812,163.5132,1.04773971014493,-0.01,59.994,-177.0956,0.893572805853418,144.7847,1.0634654,-0.01,59.994,142.9569,3.62848882523331,146.1282,1.0601138
0.033,5.877472e-39,59.993,148.5684,1.2070090501181,146.7201,1.0715936,5.877472e-39,59.994,-26.32385,8.74332232854998,146.5096,1.01947,5.877472e-39,59.993,164.7705,2.93943657873762,149.362,1.0728368,5.877472e-39,59.993,127.024,1.95160037178389,146.4991,1.071066,5.877472e-39,59.993,5.934838,1.62702904134522,163.6181,1.04713884057971,-0.01,59.993,-22.70264,8.53023331384721,145.9192,1.0537026,0.01,59.992,171.8283,3.028027167033,163.4299,1.04758753623188,-0.01,59.994,-176.9918,0.888594891832465,144.7051,1.0635432,-0.01,59.993,142.8762,3.62632722582546,146.0516,1.0601874
0.067,0.04,59.994,148.2117,1.20925292193931,146.6525,1.0716526,0.03,59.994,-26.37024,8.74474451546808,146.4438,1.01950304347826,0.02,59.994,164.6175,2.93947814795701,149.2893,1.0728638,0.04,59.994,127.024,1.95160037178389,146.4347,1.0711606,5.877472e-39,59.993,5.861973,1.62553215973605,163.5265,1.04701855072464,0.02,59.994,-22.74695,8.52056587226476,145.8505,1.0537794,5.877472e-39,59.992,171.7386,3.02613231210977,163.3392,1.04740579710145,0.03,59.994,-177.204,0.890280177268229,144.6371,1.0636466,0.02,59.994,142.7614,3.62929076475721,145.9799,1.060231
0.1,-0.02,59.994,148.4624,1.19948242333381,146.5651,1.0713736,-0.01,59.994,-26.47692,8.74619458840418,146.3588,1.01929130434783,5.877472e-39,59.994,164.3889,2.9435051660846,149.2074,1.0726376,-0.02,59.994,127.044,1.94609158419041,146.3472,1.0708878,-0.01,59.993,5.967677,1.62139706163806,163.4397,1.04713420289855,5.877472e-39,59.994,-22.84671,8.52788032282513,145.7682,1.0535834,-0.01,59.992,171.7386,3.02613231210977,163.2478,1.04757797101449,-0.01,59.994,-176.9918,0.888594891832465,144.5568,1.06342,-0.01,59.994,142.7614,3.62929076475721,145.8981,1.0600314
0.133,5.877472e-39,59.993,148.5684,1.2070090501181,146.4925,1.0713128,5.877472e-39,59.993,-26.56989,8.73987242975147,146.286,1.01926608695652,5.877472e-39,59.993,164.3889,2.9435051660846,149.1283,1.0726012,5.877472e-39,59.993,127.024,1.95160037178389,146.2729,1.0707398,5.877472e-39,59.993,5.821374,1.61840329841971,163.3701,1.0471147826087,5.877472e-39,59.993,-22.90135,8.5263639123431,145.6909,1.0535116,5.877472e-39,59.993,171.6216,3.02092997626568,163.1792,1.04749565217391,5.877472e-39,59.993,-177.204,0.890280177268229,144.4803,1.0633782,5.877472e-39,59.993,142.7276,3.63440897489358,145.8213,1.0599566
0.167,5.877472e-39,59.994,147.9795,1.20663925727068,146.4133,1.0716552,5.877472e-39,59.994,-26.60228,8.74272875473823,146.2081,1.01942782608696,0.01,59.993,164.3872,2.9356563778501,149.0503,1.0728146,5.877472e-39,59.994,126.6813,1.95578587256038,146.1954,1.07118,0.01,59.994,5.715847,1.62254616476558,163.2923,1.04713217391304,5.877472e-39,59.994,-22.93619,8.52708444547905,145.614,1.05375,0.01,59.993,171.541,3.02473940551058,163.1051,1.04753333333333,5.877472e-39,59.994,-177.4154,0.891977587059647,144.4024,1.0635552,5.877472e-39,59.994,142.566,3.6301351395259,145.7448,1.0601918
0.2,5.877472e-39,59.994,147.512,1.2014716836863,146.3458,1.0720292,5.877472e-39,59.994,-26.65341,8.74064925453867,146.1389,1.01974434782609,5.877472e-39,59.994,164.5417,2.94343155392528,148.9788,1.073097,5.877472e-39,59.994,126.4831,1.96617644535498,146.1246,1.0715286,0.01,59.994,5.590064,1.62313296625867,163.2228,1.04711623188406,5.877472e-39,59.994,-23.03059,8.52112878877722,145.5454,1.0539876,0.01,59.994,171.3706,3.02669043084149,163.0356,1.04752144927536,5.877472e-39,59.994,-177.6359,0.885415712575172,144.3348,1.0638196,5.877472e-39,59.994,142.4516,3.63313764960082,145.6716,1.0604588
0.233,-0.01,59.994,147.7462,1.20404551118635,146.2599,1.0715432,5.877472e-39,59.994,-26.77408,8.7407767334781,146.0573,1.01941739130435,-0.01,59.993,164.2361,2.94359869682821,148.8954,1.0727852,5.877472e-39,59.994,126.5383,1.94963449411729,146.0436,1.071017,0.01,59.994,5.485425,1.62728778375511,163.1515,1.04723565217391,5.877472e-39,59.994,-23.11519,8.52555677666677,145.4629,1.0536456,0.01,59.994,171.398,3.02999850931988,162.9644,1.04764550724638,5.877472e-39,59.994,-177.5252,0.888695350779304,144.2527,1.0635096,5.877472e-39,59.994,142.3706,3.63102194953938,145.593,1.0601432
0.267,5.877472e-39,59.993,148.1036,1.20174015156148,146.1823,1.0713668,-0.01,59.993,-26.88135,8.73313596454559,145.974,1.01930826086957,5.877472e-39,59.993,164.1563,2.93188223914041,148.8181,1.0726966,5.877472e-39,59.993,126.7003,1.95027362086529,145.961,1.070878,0.01,59.994,5.454375,1.63292812926767,163.0984,1.04715072463768,-0.01,59.993,-23.20471,8.52482325314977,145.3822,1.0535518,0.01,59.994,171.3004,3.03620235158193,162.9112,1.04756376811594,5.877472e-39,59.993,-177.4154,0.891977587059647,144.1742,1.0633842,-0.01,59.993,142.3706,3.63102194953938,145.5095,1.0600162
0.3,5.877472e-39,59.993,147.8697,1.1991360131723,146.0899,1.0712872,5.877472e-39,59.993,-26.95508,8.74104364250755,145.8856,1.01923304347826,-0.01,59.993,163.8558,2.94785001553539,148.7293,1.0725706,5.877472e-39,59.993,126.5569,1.9441205103714,145.8734,1.070773,5.877472e-39,59.995,5.27776,1.63561415035878,163.0379,1.04703565217391,5.877472e-39,59.993,-23.23448,8.53074946498787,145.2932,1.0534634,5.877472e-39,59.994,171.2206,3.04003568312797,162.8507,1.04745217391304,5.877472e-39,59.993,-177.204,0.890280177268229,144.0859,1.0633304,-0.01,59.993,142.2564,3.63404870832561,145.421,1.0599242
