Time,P001.df,P001.f,P001.ip_a,P001.ip_m,P001.vp_a,P001.vp_m,P002.df,P002.f,P002.ip_a,P002.ip_m,P002.vp_a,P002.vp_m,P003.df,P003.f,P003.ip_a,P003.ip_m,P003.vp_a,P003.vp_m,P004.df,P004.f,P004.ip_a,P004.ip_m,P004.vp_a,P004.vp_m
0,0.02815247,59.97769,22.82405,9.17664913785616,23.23083,1.01173101449275,0.02662651,59.97742,25.41095,5.61022801556217,32.02861,1.03865971014493,0.02632141,59.97743,25.0729,5.65618198218496,31.99424,1.03852173913043,0.02151489,59.97902,15.44721,5.36909502848414,15.8712,1.0212852173913
0.033,0.02855927,59.97873,22.56855,9.16929918025424,22.99345,1.01177391304348,0.02962757,59.97845,25.16457,5.61022801556217,31.78224,1.0387284057971,0.02970379,59.97845,24.83226,5.65235223598409,31.75359,1.03859072463768,0.03133155,59.97922,15.20657,5.36909502848414,15.63056,1.02121623188406
0.067,0.006790236,59.97914,22.32928,9.16975929955127,22.73893,1.01189101449275,0.009079054,59.97893,24.95831,5.61405716420551,31.53015,1.03886637681159,0.008544959,59.97892,24.62026,5.65235223598409,31.49577,1.03865942028985,0.01871757,59.97857,14.93156,5.36909502848414,15.37274,1.02135420289855
0.1,2.235174e-07,59.97914,22.10406,9.18156703631663,22.46806,1.01199014492754,5.877472e-39,59.97893,24.73486,5.61788631284885,31.26085,1.03886637681159,5.877472e-39,59.97892,24.38536,5.65618198218496,31.2322,1.03865971014493,5.877472e-39,59.97768,14.64507,5.36909502848414,15.09771,1.02135420289855
0.133,-0.01856491,59.97873,21.85438,9.19667329063992,22.19246,1.01200289855072,-0.007909052,59.97878,24.51141,5.62171605904972,30.99728,1.03879739130435,-0.006891936,59.97878,24.11607,5.66767062323004,30.96864,1.03859072463768,-0.004628487,59.97723,14.3586,5.36909502848414,14.82268,1.02135420289855
0.167,-0.02431221,59.97787,21.59825,9.20635969817871,21.92609,1.0119115942029,-0.01136776,59.97839,24.27076,5.62937555145146,30.73946,1.03865971014493,-0.01126606,59.9784,23.8697,5.67149977187339,30.71081,1.03852173913043,-0.02199803,59.97716,14.0893,5.37420115756612,14.5534,1.02128550724638
0.2,-0.009053461,59.97745,21.34515,9.2126460033797,21.65113,1.01187362318841,-0.002848282,59.97823,24.0072,5.6332047000948,30.47589,1.03859072463768,-0.00376381,59.97823,23.64624,5.67532951807426,30.44725,1.03845275362319,-0.0132243,59.97717,13.8372,5.37420115756612,14.28411,1.0212852173913
0.233,5.877472e-39,59.97742,21.11231,9.22308533340454,21.38103,1.01196666666667,-0.002085418,59.97814,23.76656,5.63703444629567,30.21807,1.03859072463768,-0.003128015,59.9781,23.41706,5.68298901047599,30.18369,1.03845246376812,-0.003153495,59.97729,13.56791,5.37420115756612,14.00909,1.02135420289855
0.267,0.003738441,59.97748,20.87231,9.22810481664487,21.11952,1.01204927536232,0.002772063,59.97823,23.54312,5.63703444629567,29.95451,1.03859072463768,0.003814772,59.9782,23.1936,5.68681756156181,29.92586,1.03845275362319,-2.235174e-07,59.97761,13.29863,5.37675392332835,13.74554,1.0214231884058
0.3,0.004832,59.97766,20.64481,9.2316662595154,20.85559,1.01209942028986,5.877472e-39,59.97829,23.29674,5.64086359493901,29.69668,1.03865971014493,-0.001424141,59.97822,22.95296,5.68681815911934,29.66229,1.03845275362319,0.003178865,59.97768,13.0408,5.37675392332835,13.48197,1.02149217391304
